,height
1735,135.0
1736,151.4
1737,151.1
1738,155.6
1739,144.2
1740,166.0
1741,151.7
1742,151.1
1743,155.1
1744,162.7
1745,153.9
1746,147.9
1747,144.2
1748,159.9
1749,148.9
1750,145.0
1751,149.6
1752,148.9
1753,136.8
1754,155.0
1755,153.1
1756,161.0
1757,149.5
1758,140.2
1759,153.8
1760,119.4
1761,126.6
1762,117.8
1763,126.4
1764,122.6
1765,127.9
1766,125.3
1767,123.8
1768,113.3
1769,122.2
1770,121.5
1771,116.5
1772,118.5
1773,115.2
1774,108.3
1775,113.7
1776,112.5
1777,125.5
1778,129.6
1779,120.4
1780,127.5
1781,123.0
1782,140.2
1783,120.6
1784,123.4
1785,123.4
1786,129.0
1787,125.2
1788,120.5
1789,124.9
1790,132.0
1791,126.5
1792,123.9
1793,126.6
1794,136.7
1795,125.1
1796,126.1
1797,127.5
1798,120.0
1799,128.1
1800,127.2
1801,138.2
1802,123.2
1803,136.7
1804,141.5
1805,135.6
1806,129.3
1807,137.3
1808,122.3
1809,139.6
1810,130.2
1811,125.8
1812,131.5
1813,129.3
1814,147.5
1815,134.5
1816,131.6
1817,137.3
1818,134.5
1819,141.4
1820,141.6
1821,142.0
1822,136.9
1823,137.5
1824,137.7
1825,144.5
1826,146.7
1827,141.9
1828,132.2
1829,135.9
1830,138.4
1831,135.3
1832,136.6
1833,141.4
1834,132.6
1835,137.5
1836,139.6
1837,137.2
1838,135.7
1839,142.5
1840,145.1
1841,149.7
1842,135.6
1843,152.8
1844,137.1
1845,138.4
1846,145.5
1847,146.1
1848,145.3
1849,148.6
1850,151.0
1851,155.7
1852,143.1
1853,145.2
1854,143.8
1855,135.9
1856,150.9
1857,149.1
1858,150.5
1859,167.6
1860,151.3
1861,154.5
1862,149.0
1863,148.6
1864,145.2
1865,151.9
1866,152.1
1867,148.7
1868,159.4
1869,156.0
1870,156.0
1871,153.5
1872,143.7
1873,147.6
1874,152.0
1875,156.5
1876,163.0
1877,150.2
1878,149.2
1879,146.2
1880,150.9
1881,153.1
1882,152.0
1883,114.6
1884,121.2
1885,122.0
1886,130.7
1887,126.5
1888,126.9
1889,119.2
1890,125.0
1891,116.4
1892,121.3
1893,126.1
1894,125.2
1895,124.2
1896,125.0
1897,116.8
1898,119.8
1899,125.8
1900,120.6
1901,120.0
1902,118.5
1903,122.5
1904,126.3
1905,127.3
1906,120.0
1907,132.3
1908,119.0
1909,123.0
1910,129.6
1911,122.0
1912,143.4
1913,121.0
1914,126.6
1915,124.1
1916,130.4
1917,127.3
1918,122.0
1919,122.4
1920,126.9
1921,135.2
1922,126.0
1923,132.8
1924,130.9
1925,131.0
1926,142.9
1927,142.2
1928,126.9
1929,133.1
1930,135.7
1931,125.2
1932,122.6
1933,141.6
1934,127.9
1935,133.8
1936,135.5
1937,135.0
1938,128.0
1939,130.1
1940,131.7
1941,131.4
1942,123.4
1943,128.1
1944,135.7
1945,132.6
1946,139.6
1947,137.0
1948,128.8
1949,148.5
1950,139.3
1951,143.0
1952,133.0
1953,123.2
1954,138.7
1955,131.3
1956,142.2
1957,139.9
1958,131.5
1959,136.0
1960,133.5
1961,137.2
1962,144.2
1963,139.4
1964,135.0
1965,134.0
1966,143.0
1967,147.0
1968,141.1
1969,145.1
1970,137.5
1971,156.6
1972,141.2
1973,145.8
1974,135.7
1975,141.4
1976,167.4
1977,142.9
1978,143.5
1979,144.8
1980,143.7
1981,156.8
1982,153.0
1983,153.3
1984,139.0
1985,139.9
1986,142.9
1987,153.4
1988,147.0
1989,143.4
1990,162.9
1991,147.9
1992,142.2
1993,145.5
1994,157.6
1995,162.2
1996,154.4
1997,146.7
1998,155.3
1999,142.5
2000,151.2
2001,150.0
2002,150.9
2003,156.1
2004,148.0
2005,157.0
2006,120.0
2007,119.0
2008,113.0
2009,117.0
2010,111.5
2011,118.6
2012,124.2
2013,128.0
2014,119.0
2015,118.0
2016,123.1
2017,119.5
2018,122.0
2019,117.0
2020,124.0
2021,130.0
2022,120.8
2023,125.2
2024,121.0
2025,124.0
2026,128.6
2027,130.0
2028,122.0
2029,120.0
2030,126.5
2031,125.9
2032,130.2
2033,132.8
2034,133.5
2035,135.1
2036,130.7
2037,117.8
2038,135.3
2039,131.8
2040,124.4
2041,131.1
2042,125.8
2043,120.3
2044,124.8
2045,128.7
2046,126.7
2047,130.7
2048,128.2
2049,116.0
2050,133.7
2051,130.3
2052,125.9
2053,128.5
2054,130.0
2055,121.9
2056,137.9
2057,130.2
2058,138.0
2059,129.3
2060,138.7
2061,133.5
2062,138.5
2063,128.1
2064,132.2
2065,131.3
2066,125.3
2067,131.8
2068,135.6
2069,129.6
2070,142.5
2071,136.1
2072,132.8
2073,135.7
2074,143.5
2075,136.1
2076,137.0
2077,139.3
2078,150.0
2079,144.9
2080,142.3
2081,134.2
2082,143.3
2083,141.3
2084,143.2
2085,141.6
2086,144.5
2087,143.0
2088,144.0
2089,137.0
2090,130.8
2091,134.0
2092,146.1
2093,146.6
2094,133.0
2095,129.0
2096,141.1
2097,143.7
2098,144.0
2099,127.0
2100,146.8
2101,146.2
2102,144.0
2103,152.9
2104,145.4
2105,139.8
2106,154.5
2107,143.3
2108,151.0
2109,148.5
2110,138.5
2111,137.0
2112,149.3
2113,146.7
2114,140.7
2115,157.3
2116,140.6
2117,157.1
2118,141.9
2119,144.4
2120,148.0
2121,143.8
2122,157.6
2123,139.4
2124,143.6
2125,142.7
2126,164.0
2127,152.7
2128,152.6
2129,156.4
2130,143.4
2131,157.5
2132,153.2
2133,147.7
2134,147.8
2135,155.8
2136,157.0
2137,148.0
2138,144.2
2139,150.0
