,height
2096,137.5
2097,124.9
2098,132.0
2099,136.6
2100,126.9
2101,120.0
2102,136.4
2103,140.0
2104,131.2
2105,122.5
2106,130.9
2107,125.8
2108,136.7
2109,130.1
2110,136.5
2111,136.2
2112,131.5
2113,132.3
2114,130.7
2115,132.7
2116,134.1
2117,139.5
2118,126.1
2119,125.4
2120,130.3
2121,141.2
2122,138.2
2123,144.7
2124,139.8
2125,144.0
2126,141.3
2127,144.0
2128,133.3
2129,133.1
2130,137.9
2131,135.0
2132,132.8
2133,130.1
2134,141.1
2135,140.0
2136,144.3
2137,131.8
2138,128.7
2139,140.6
